time_label,hour_decimal,0,1,2,5,7,8
00:00,0.0,2119,246,10,243,0,289
00:30,0.5,2127,263,16,212,0,289
01:00,1.0,2101,274,9,232,0,291
01:30,1.5,2108,270,16,222,0,291
02:00,2.0,2070,330,8,205,0,294
02:30,2.5,2075,318,10,209,1,294
03:00,3.0,2038,376,6,193,0,294
03:30,3.5,2014,373,11,214,0,295
04:00,4.0,2027,384,9,190,0,297
04:30,4.5,2025,382,12,188,0,300
05:00,5.0,1989,412,10,192,1,303
05:30,5.5,1985,440,4,177,0,301
06:00,6.0,1967,431,7,198,0,304
06:30,6.5,1836,506,7,258,0,300
07:00,7.0,1777,637,23,172,0,298
07:30,7.5,1832,686,38,57,0,294
08:00,8.0,2176,367,66,8,0,290
08:30,8.5,2352,157,104,5,0,289
09:00,9.0,2426,73,114,6,0,288
09:30,9.5,2434,39,141,5,0,288
10:00,10.0,2491,21,103,4,0,288
10:30,10.5,2527,16,72,4,0,288
11:00,11.0,2534,7,74,2,0,290
11:30,11.5,2552,2,61,3,0,289
12:00,12.0,2578,2,37,2,0,288
12:30,12.5,2585,2,30,2,0,288
13:00,13.0,2597,1,20,3,0,286
13:30,13.5,2586,1,22,12,1,285
14:00,14.0,2590,2,10,21,1,284
14:30,14.5,2567,4,14,37,1,285
15:00,15.0,2576,7,10,32,0,283
15:30,15.5,2543,8,10,66,0,281
16:00,16.0,2488,12,10,118,0,280
16:30,16.5,2392,20,0,215,1,280
17:00,17.0,2104,32,3,490,0,279
17:30,17.5,1980,32,0,617,0,279
18:00,18.0,2057,35,0,535,0,281
18:30,18.5,2148,39,5,435,0,281
19:00,19.0,2179,46,10,393,0,280
19:30,19.5,2162,64,13,389,0,280
20:00,20.0,2185,82,15,345,0,281
20:30,20.5,2181,114,18,314,0,281
21:00,21.0,2176,132,18,301,0,281
21:30,21.5,2195,137,30,264,0,282
22:00,22.0,2182,179,24,241,0,282
22:30,22.5,2214,183,12,218,0,281
23:00,23.0,2182,195,17,233,0,281
23:30,23.5,2151,228,12,236,0,281
