time_label,hour_decimal,0,1,3,4,5,9
00:00,0.0,480,768,0,3,868,788
00:30,0.5,483,787,0,2,855,780
01:00,1.0,443,774,0,2,882,806
01:30,1.5,453,768,0,7,880,799
02:00,2.0,432,750,0,10,878,837
02:30,2.5,412,781,0,7,875,832
03:00,3.0,438,774,0,3,823,869
03:30,3.5,390,769,0,8,847,893
04:00,4.0,400,802,0,6,819,880
04:30,4.5,419,798,0,8,800,882
05:00,5.0,374,808,0,9,798,918
05:30,5.5,383,776,0,6,820,922
06:00,6.0,454,769,0,11,733,940
06:30,6.5,701,625,0,52,458,1071
07:00,7.0,1103,259,0,243,172,1130
07:30,7.5,1234,42,0,524,32,1075
08:00,8.0,1228,14,0,908,26,731
08:30,8.5,1155,19,0,1149,29,555
09:00,9.0,1061,15,0,1319,31,481
09:30,9.5,1001,10,0,1398,25,473
10:00,10.0,1037,10,0,1414,30,416
10:30,10.5,1147,14,0,1341,25,380
11:00,11.0,1361,9,0,1141,23,373
11:30,11.5,1499,12,0,1019,22,355
12:00,12.0,1750,6,0,803,19,329
12:30,12.5,1909,10,0,652,14,322
13:00,13.0,2032,8,0,542,15,310
13:30,13.5,2198,7,0,372,9,321
14:00,14.0,2238,11,0,332,9,318
14:30,14.5,2298,8,0,250,11,341
15:00,15.0,2355,6,0,205,10,332
15:30,15.5,2398,8,1,128,8,365
16:00,16.0,2377,10,0,92,9,420
16:30,16.5,2320,20,0,44,8,516
17:00,17.0,2011,62,0,18,13,804
17:30,17.5,1646,230,0,8,96,928
18:00,18.0,1417,446,0,1,193,851
18:30,18.5,1262,514,0,3,369,760
19:00,19.0,1134,524,0,1,520,729
19:30,19.5,1013,550,0,0,599,746
20:00,20.0,908,581,0,1,695,723
20:30,20.5,774,621,0,1,785,727
21:00,21.0,686,631,0,3,856,732
21:30,21.5,619,635,0,0,941,713
22:00,22.0,617,661,0,3,901,726
22:30,22.5,552,709,0,3,950,694
23:00,23.0,516,723,0,0,943,726
23:30,23.5,505,731,0,5,910,757
