season,hour,MOST_mean,BRN_ANC_mean,MOST_std,BRN_ANC_std,MOST_n,BRN_ANC_n,n_days
Dry Season (May-Sep),0.0,14.029568460065398,3.6465752389984982,16.81927859373688,8.046883817981294,70,128,1155
Dry Season (May-Sep),0.5,14.820234619879106,3.303177800896902,20.443969220859415,9.724317013208749,70,144,1155
Dry Season (May-Sep),1.0,20.265865073320505,4.402504600614243,27.538317551364237,13.165230737668352,67,122,1155
Dry Season (May-Sep),1.5,14.705682789921847,3.3665792885183006,14.424162709272215,9.562454912939954,60,129,1155
Dry Season (May-Sep),2.0,17.25357144570872,5.719988216036594,42.90624374292668,24.575283848680364,67,125,1155
Dry Season (May-Sep),2.5,17.106411036012098,4.288393118236704,34.088326286635976,18.4127747416958,53,119,1155
Dry Season (May-Sep),3.0,18.6001142047772,7.674647647954268,31.056013899161222,31.59904050301754,61,132,1155
Dry Season (May-Sep),3.5,34.056373587458424,10.433002491152466,101.66754667263253,43.23064279132635,62,133,1155
Dry Season (May-Sep),4.0,47.43236741458422,13.975808289648347,149.06011153501066,61.13674076281514,60,134,1155
Dry Season (May-Sep),4.5,27.304969969811964,13.079936758162376,79.84221106983068,60.84892331838097,56,139,1155
Dry Season (May-Sep),5.0,40.95684934049278,22.680923923516477,113.78682091375053,81.53046915523377,59,118,1155
Dry Season (May-Sep),5.5,67.7930798742031,29.93083477397783,163.96334873592858,102.21697738472065,61,117,1155
Dry Season (May-Sep),6.0,34.359201616652506,24.956315532530454,91.38999167345573,85.51392185916276,71,137,1155
Dry Season (May-Sep),6.5,41.2073884379267,16.7129158699135,94.43101478891042,62.938255239536446,113,207,1155
Dry Season (May-Sep),7.0,34.91906342001846,11.007797398201575,29.109757306704104,15.21514787487093,328,424,1155
Dry Season (May-Sep),7.5,37.076639325826385,19.3138319902047,23.47487736274632,12.78717482048096,638,489,1155
Dry Season (May-Sep),8.0,38.22086185754653,23.736470127484623,28.567903909680034,14.387146010753892,773,516,1155
Dry Season (May-Sep),8.5,37.46243804364358,27.844930010602575,31.082904417640457,16.42260237139139,843,476,1155
Dry Season (May-Sep),9.0,37.3727783957004,32.8065540056389,34.109242631905644,18.910742939219965,822,419,1155
Dry Season (May-Sep),9.5,39.07697627766231,40.058709756706584,38.545316048758785,22.279370063962983,803,336,1155
Dry Season (May-Sep),10.0,38.70850841400298,47.27857463145856,40.66011487818573,27.85975862329132,841,311,1155
Dry Season (May-Sep),10.5,46.07139521726776,57.03202412860594,46.37519772031205,32.66404910998869,841,350,1155
Dry Season (May-Sep),11.0,48.817551934104536,60.612456301714204,48.76394290966369,34.46938414525773,911,425,1155
Dry Season (May-Sep),11.5,54.023486897641675,64.26439741393041,52.928022635440364,37.12463069713612,942,488,1155
Dry Season (May-Sep),12.0,57.27213773494485,62.92052011864453,51.65634823530556,35.841926581679786,988,627,1155
Dry Season (May-Sep),12.5,59.9580031081648,63.71512645641616,51.36427147771669,36.979897169974905,1033,685,1155
Dry Season (May-Sep),13.0,62.33450522536556,63.26436214400738,52.26970527390955,37.67690195579805,1048,757,1155
Dry Season (May-Sep),13.5,64.79326193652652,61.408135941227634,50.30568842747014,36.51390687066655,1072,882,1155
Dry Season (May-Sep),14.0,62.17699563984718,56.975298926847785,47.965558939883444,34.16119562493971,1090,915,1155
Dry Season (May-Sep),14.5,60.367153551069556,52.49540877264618,45.230913813386096,32.26499346335153,1097,975,1155
Dry Season (May-Sep),15.0,58.51301727741832,47.40021599803904,42.85113469912832,29.5505264867704,1117,1022,1155
Dry Season (May-Sep),15.5,55.99666639225507,43.053665093999854,39.026226319626396,28.70938427694377,1110,1062,1155
Dry Season (May-Sep),16.0,51.998354107647884,38.11337782556505,34.52890859535941,26.19004324811797,1099,1058,1155
Dry Season (May-Sep),16.5,45.980645721235774,31.52676671395176,29.82683893839527,22.334049974869572,1082,1068,1155
Dry Season (May-Sep),17.0,36.5045734311666,24.147937979014987,25.378979024863185,18.651002045800507,891,874,1155
Dry Season (May-Sep),17.5,23.010191660745384,13.77020931737645,22.599415109524113,16.971500605536445,753,723,1155
Dry Season (May-Sep),18.0,16.10834220550723,9.413783048918972,19.93074465339465,14.4804642762345,685,603,1155
Dry Season (May-Sep),18.5,14.867638408370535,8.295713925172489,19.24567891717396,13.05167080026697,559,489,1155
Dry Season (May-Sep),19.0,14.615250815619817,8.290405527733647,18.42977291477127,12.868005270192409,473,421,1155
Dry Season (May-Sep),19.5,15.350872077403688,8.132376675335298,18.979153994126488,12.565865289354557,380,371,1155
Dry Season (May-Sep),20.0,13.433958879167184,6.680480309518253,17.987864056064666,10.941491337294972,324,317,1155
Dry Season (May-Sep),20.5,15.551796336758523,6.909019036473257,17.774705032020922,10.479434419210204,238,248,1155
Dry Season (May-Sep),21.0,13.515894823121197,5.153888843770086,15.082927398795036,7.431874463094461,188,210,1155
Dry Season (May-Sep),21.5,14.478281521654997,4.754689978564316,15.388219338390599,6.9469300000877965,155,195,1155
Dry Season (May-Sep),22.0,12.08484334270006,4.140547552856007,12.920360904326557,5.773099346553835,145,190,1155
Dry Season (May-Sep),22.5,13.135320176122555,4.365708809387407,15.887333569637317,7.417226114730259,128,170,1155
Dry Season (May-Sep),23.0,12.267565414761997,3.9780498312889363,13.772731410345004,7.051515114141246,109,148,1155
Dry Season (May-Sep),23.5,13.851974006614693,3.865745157857749,13.961017409367855,7.436677350277866,89,143,1155
Wet Season (Oct-Apr),0.0,26.241075628448822,7.94600810226228,15.701047074909644,7.701713507097156,303,352,1477
Wet Season (Oct-Apr),0.5,23.922600018911787,8.078361136460284,16.138624815427157,8.20115943397544,327,339,1477
Wet Season (Oct-Apr),1.0,27.87183697382817,8.443554143638096,16.14937086758474,8.782759928800031,280,321,1477
Wet Season (Oct-Apr),1.5,27.389643919326577,8.59213338695074,16.456193242648403,9.217539844031128,286,324,1477
Wet Season (Oct-Apr),2.0,26.75069077043341,7.736359553189183,16.83825677363337,9.354285686399551,269,307,1477
Wet Season (Oct-Apr),2.5,24.842216798537915,7.387474619983818,14.849673145507774,7.448321900462573,262,293,1477
Wet Season (Oct-Apr),3.0,24.809365705327462,6.749571481922658,14.635913762904071,6.370083466177949,259,306,1477
Wet Season (Oct-Apr),3.5,25.74561025176538,7.193294602927806,14.848747189442795,6.165676892821414,242,257,1477
Wet Season (Oct-Apr),4.0,22.83137545138081,6.238111561765147,14.434080092966962,6.03994935206489,245,266,1477
Wet Season (Oct-Apr),4.5,24.469131928349892,6.275200131180342,14.752201267779409,5.721484735937613,244,280,1477
Wet Season (Oct-Apr),5.0,23.186107459336935,5.9750219172297605,14.771052339951376,5.81357973453525,230,256,1477
Wet Season (Oct-Apr),5.5,22.395500567666023,5.877238114276621,15.09705611020885,5.706167192403444,231,266,1477
Wet Season (Oct-Apr),6.0,27.321279184759916,6.929245402171975,17.179023758735568,7.042009803712674,270,317,1477
Wet Season (Oct-Apr),6.5,41.88881472689468,14.635232314879687,24.215888029801555,11.303672106679825,536,494,1477
Wet Season (Oct-Apr),7.0,52.82172207012726,21.77545693265879,27.601878190704188,14.709615637828966,820,679,1477
Wet Season (Oct-Apr),7.5,56.26176091572893,27.659372686184323,30.65252195386092,17.3081305895286,958,745,1477
Wet Season (Oct-Apr),8.0,59.15076399327827,35.08293798815402,35.994179711502106,22.935596232811942,1025,712,1477
Wet Season (Oct-Apr),8.5,64.3724620642345,44.38355186371553,41.68631367673738,26.620778117298208,1079,679,1477
Wet Season (Oct-Apr),9.0,66.84460523314542,50.64489067800906,46.37997542103765,29.403292109062452,1100,642,1477
Wet Season (Oct-Apr),9.5,74.12997435467203,62.7999660969359,53.13455053603019,36.166980474412526,1139,665,1477
Wet Season (Oct-Apr),10.0,87.06467881271988,78.8031602836099,59.58712445334136,41.6838283506813,1186,726,1477
Wet Season (Oct-Apr),10.5,97.85647895594069,91.45083672614028,63.77024800962902,46.99304899685252,1239,797,1477
Wet Season (Oct-Apr),11.0,111.15083350258402,101.70869708580534,68.19481554379645,50.88976384943591,1283,936,1477
Wet Season (Oct-Apr),11.5,123.7934403948236,110.70359213645466,72.60260120245344,56.403559014346314,1312,1011,1477
Wet Season (Oct-Apr),12.0,134.70879849204513,114.94305980565754,75.61620274520307,59.42974702344563,1349,1123,1477
Wet Season (Oct-Apr),12.5,139.01598333326234,116.06992649184578,73.84179434457829,59.15974898376228,1375,1224,1477
Wet Season (Oct-Apr),13.0,141.35118825391902,116.46213772563416,77.93498144027605,59.55698983966356,1397,1275,1477
Wet Season (Oct-Apr),13.5,142.7888367204816,113.42339297742998,75.87083737942675,58.95284945383625,1402,1316,1477
Wet Season (Oct-Apr),14.0,139.70396642037386,109.32644043070225,72.10571249925349,57.01995316930523,1395,1323,1477
Wet Season (Oct-Apr),14.5,131.68986501996463,100.39110490361979,65.9302592190012,53.23407757145772,1383,1323,1477
Wet Season (Oct-Apr),15.0,121.12210518602075,90.13210326322913,61.77665629349501,49.16590682375159,1394,1333,1477
Wet Season (Oct-Apr),15.5,111.0208089108051,79.05240999764281,57.47490704663785,44.880587720651356,1374,1336,1477
Wet Season (Oct-Apr),16.0,100.44814312516466,67.25317070874907,50.67785692562188,38.5158203281332,1346,1319,1477
Wet Season (Oct-Apr),16.5,87.9092649175352,54.83792060259084,44.569285237365094,33.95204623323561,1265,1252,1477
Wet Season (Oct-Apr),17.0,72.13381756002582,41.89630633430006,36.910166166678906,27.327873973910474,1148,1137,1477
Wet Season (Oct-Apr),17.5,55.22273735930913,30.473605759053264,33.10560972605434,22.908260295841096,955,923,1477
Wet Season (Oct-Apr),18.0,40.62213432010629,21.472708947620973,30.35198934855065,20.0130945390768,851,814,1477
Wet Season (Oct-Apr),18.5,36.414884498211144,19.00659211687869,28.377176805900337,18.753385966372793,812,773,1477
Wet Season (Oct-Apr),19.0,33.10117757434276,16.972568236784387,24.86722383668154,15.784104597241061,772,713,1477
Wet Season (Oct-Apr),19.5,31.309335564388693,14.925225019770162,23.369063791406035,14.53247467335389,668,642,1477
Wet Season (Oct-Apr),20.0,29.448259784119397,14.19949428869221,22.498271592933772,14.588823127553617,618,591,1477
Wet Season (Oct-Apr),20.5,27.659414281973532,12.309493854588892,21.91221123230739,12.815850081656839,559,526,1477
Wet Season (Oct-Apr),21.0,28.833060509269,11.792172145632948,21.879646386945005,12.349559290810536,475,476,1477
Wet Season (Oct-Apr),21.5,27.828718352046735,11.042532837155388,18.675828654297543,10.469456612862796,443,424,1477
Wet Season (Oct-Apr),22.0,27.743284297457205,10.20522601554159,18.058678363057137,9.325050622850869,402,427,1477
Wet Season (Oct-Apr),22.5,26.670307766383292,9.16325000947138,17.853727183891802,8.38469265633502,364,382,1477
Wet Season (Oct-Apr),23.0,25.024271712662866,8.770894629108017,16.980050344695375,8.698480017563185,342,368,1477
Wet Season (Oct-Apr),23.5,26.03818539143379,8.423160013543843,18.123001894014358,9.448837502501663,340,362,1477
