season,hour,MOST_mean,BRN_ANC_mean,MOST_std,BRN_ANC_std,MOST_n,BRN_ANC_n,n_days
Dry Season (May-Sep),0.0,-0.31402540427426107,-1.6499903063893762,5.39950406331564,3.0861649097214,70,128,1155
Dry Season (May-Sep),0.5,-0.23658212413814494,-1.7836047985355588,5.690951607624848,3.3121175785866073,70,144,1155
Dry Season (May-Sep),1.0,-0.2973877955647113,-0.9808562482211122,5.787252728017953,10.536932615050098,67,122,1155
Dry Season (May-Sep),1.5,-0.561631161143599,-1.6281618198060355,5.713098586305234,3.6086049965307754,60,129,1155
Dry Season (May-Sep),2.0,0.635749500263988,-0.6877764448701339,8.80128625474366,8.987528691737555,67,125,1155
Dry Season (May-Sep),2.5,0.16663096289204518,-1.1151378394611724,6.9442292565381845,7.602131088153137,53,119,1155
Dry Season (May-Sep),3.0,1.0809199663281206,0.3424183759151923,11.876831607632008,18.118441712142072,61,132,1155
Dry Season (May-Sep),3.5,8.191275002742978,2.787347492452512,44.601632751785814,27.003729023252443,62,133,1155
Dry Season (May-Sep),4.0,13.661592810080895,5.046906551983037,67.24727787709186,39.46644324860616,60,134,1155
Dry Season (May-Sep),4.5,6.576286779485595,5.670722828878537,45.05873112092099,43.910796413463636,56,139,1155
Dry Season (May-Sep),5.0,16.164257560482696,12.203649722446759,70.08803646815728,60.511561854216616,59,118,1155
Dry Season (May-Sep),5.5,28.50162947712648,14.986442023365099,98.43369054987097,67.528262237787,61,117,1155
Dry Season (May-Sep),6.0,9.839335998272313,12.732956214905318,49.447200986571175,57.588068259430834,71,137,1155
Dry Season (May-Sep),6.5,16.408382026197025,8.268714008989484,62.91908734605701,44.10411918596378,113,207,1155
Dry Season (May-Sep),7.0,16.633601821831178,5.124240491352166,16.21377949986497,8.908213003362297,328,424,1155
Dry Season (May-Sep),7.5,32.29407217269004,17.356984957380266,25.86539700024471,16.65102401370706,638,489,1155
Dry Season (May-Sep),8.0,48.45001276115653,29.254512345373648,32.6077199681459,21.536229143374708,773,516,1155
Dry Season (May-Sep),8.5,56.344697222647234,39.17177652641455,38.54505388119695,26.499273780540694,843,476,1155
Dry Season (May-Sep),9.0,58.40031874152745,49.47838990442958,40.40132947103735,29.769539325498275,822,419,1155
Dry Season (May-Sep),9.5,61.63982567498419,60.85235904558927,44.791919104169864,39.127322159181546,803,336,1155
Dry Season (May-Sep),10.0,63.230527407653,76.45627642178202,51.40970852666584,42.91118926177772,841,311,1155
Dry Season (May-Sep),10.5,75.30353952085468,90.57700314181392,57.354925988089555,48.6996822550538,841,350,1155
Dry Season (May-Sep),11.0,80.61267600929024,94.92190454021386,63.43186320526813,52.367063721121454,911,425,1155
Dry Season (May-Sep),11.5,90.36168398253629,102.26601015248099,63.940765962449525,53.23372145997534,942,488,1155
Dry Season (May-Sep),12.0,96.39743445687616,102.70283229611559,66.89353794392079,55.88573825171956,988,627,1155
Dry Season (May-Sep),12.5,103.05734408528588,105.48427337791448,67.20542979731137,55.420352940112004,1033,685,1155
Dry Season (May-Sep),13.0,107.24432436622142,105.20529609028972,67.56541138473229,55.84700118089763,1048,757,1155
Dry Season (May-Sep),13.5,112.81600162439595,102.27089213637048,65.15292568925011,54.41430611914238,1072,882,1155
Dry Season (May-Sep),14.0,105.47101057772836,93.31141753721568,59.5216235725327,51.14548892291985,1090,915,1155
Dry Season (May-Sep),14.5,100.09160511272016,82.912004380222,57.80364862079677,49.45815306136299,1097,975,1155
Dry Season (May-Sep),15.0,89.69532475246078,70.93586700846453,52.8917302556051,46.41747666192227,1117,1022,1155
Dry Season (May-Sep),15.5,77.0265699714216,58.03476276470999,45.13687897401699,40.71162028253155,1110,1062,1155
Dry Season (May-Sep),16.0,58.334793688039284,41.327811256132755,36.468280981846355,32.53004099559643,1099,1058,1155
Dry Season (May-Sep),16.5,36.28556580504018,24.30687276609711,26.83464009014362,23.670133308907854,1082,1068,1155
Dry Season (May-Sep),17.0,15.319797343095988,9.868491638357023,19.08353444701881,15.403812541202628,891,874,1155
Dry Season (May-Sep),17.5,-2.542917507811596,-1.7423034997719378,12.346127519139088,8.514788574309664,753,723,1155
Dry Season (May-Sep),18.0,-5.471773653895385,-3.464614767374347,9.647424415878739,7.19937242550344,685,603,1155
Dry Season (May-Sep),18.5,-5.647161915579068,-3.3886650035045784,9.031390581757247,6.3469463738930445,559,489,1155
Dry Season (May-Sep),19.0,-5.111276498848815,-3.1955473897620563,9.002315748031384,6.399868861557245,473,421,1155
Dry Season (May-Sep),19.5,-4.826225016153214,-3.0904378240000683,8.710548250510062,5.597262535007367,380,371,1155
Dry Season (May-Sep),20.0,-3.8578221202525778,-2.8111715463088895,7.96612139300038,5.006526852164245,324,317,1155
Dry Season (May-Sep),20.5,-3.774551585717089,-2.750080935233921,8.043981582283942,4.687285242399716,238,248,1155
Dry Season (May-Sep),21.0,-3.1089956024809626,-2.5456554974132715,7.1514583542029815,3.658394744972729,188,210,1155
Dry Season (May-Sep),21.5,-1.8036730854275091,-2.086513365817041,6.758187767024043,3.181512006807562,155,195,1155
Dry Season (May-Sep),22.0,-1.0995560653101775,-1.848850012068741,5.502903633407316,2.772966873009698,145,190,1155
Dry Season (May-Sep),22.5,-1.6884988838233554,-2.0144115865344503,5.839500907485584,2.8754869339044014,128,170,1155
Dry Season (May-Sep),23.0,-1.3764273560647686,-1.7374530417557261,6.058941300206936,2.7690746092533787,109,148,1155
Dry Season (May-Sep),23.5,-1.3320501024526334,-1.8091431586047844,5.946708795659243,2.511178507469199,89,143,1155
Wet Season (Oct-Apr),0.0,1.8376907174607044,-0.901112549383015,7.409063709630495,3.090593208633964,303,352,1477
